"","Weather","Herbicide_Application","Manure","Weeds","Fungicide_Application","Nitrogen","Fertilizer_Application","Filter_Cake","Amount_of_N_Fertilizer","Type_of_N_Fertilizer","Mechanical_Cultivation","Pests_and_Disease","Soil","Yield","Water_Application","Hand_Weeding","Potash","Compound_D","Single_Supers","Timing_of_Dressings","Trash_Burning","Heat_Treatment","Pesticide_Application"
"375","favourable","yes","yes","clean","no","not_effective","effective","no","0.5","AN","no","infested","good",">=_100","0.75","lots","yes","yes","yes","wrong","no","no","yes"
"376","favourable","no","no","clean","yes","effective","not_effective","no","0.5","urea","yes","free","good","0_to_70","1","less","yes","no","no","right","yes","yes","yes"
"377","favourable","yes","no","clean","yes","not_effective","effective","no","0.5","AN","no","free","poor","70_to_100","0.75","lots","yes","no","no","wrong","no","yes","yes"
"378","favourable","yes","no","clean","yes","effective","not_effective","no","1","AN","yes","free","good",">=_100","0.75","lots","no","no","yes","wrong","no","no","no"
"379","unfavourable","yes","yes","dirty","no","not_effective","not_effective","yes","0.5","AN","yes","free","good",">=_100","1","lots","yes","no","no","right","no","no","yes"
"380","unfavourable","yes","yes","dirty","yes","not_effective","not_effective","yes","1","urea","no","infested","poor","0_to_70","1","lots","no","yes","yes","wrong","no","yes","yes"
"381","unfavourable","yes","yes","dirty","yes","effective","not_effective","no","1","urea","no","free","poor","0_to_70","0.75","lots","no","no","no","right","no","no","no"
"382","favourable","no","yes","dirty","yes","effective","not_effective","no","1","AN","yes","infested","good",">=_100","0.5","less","yes","no","no","right","yes","yes","no"
"383","favourable","no","yes","clean","yes","not_effective","effective","yes","0.5","AN","yes","free","poor","0_to_70","1","lots","yes","no","no","wrong","no","yes","no"
"384","unfavourable","no","no","dirty","yes","not_effective","not_effective","no","1","AN","yes","free","poor","70_to_100","1","lots","yes","no","yes","right","yes","no","yes"
"385","unfavourable","no","yes","clean","no","effective","effective","no","0.5","urea","yes","infested","good","70_to_100","1","lots","yes","no","no","right","yes","no","no"
"386","unfavourable","no","no","dirty","yes","not_effective","not_effective","no","1","urea","yes","infested","poor",">=_100","0.75","lots","yes","no","yes","right","no","yes","no"
"387","favourable","no","yes","dirty","yes","effective","not_effective","yes","0.5","urea","yes","infested","poor","70_to_100","0.75","less","yes","yes","yes","right","no","yes","yes"
"388","unfavourable","yes","no","clean","yes","not_effective","effective","yes","1","AN","yes","infested","good",">=_100","0.5","lots","no","no","yes","wrong","no","yes","no"
"389","unfavourable","no","yes","dirty","no","not_effective","not_effective","no","1","urea","yes","free","poor","70_to_100","0.75","less","yes","yes","no","right","yes","yes","yes"
"390","unfavourable","no","yes","dirty","no","effective","not_effective","yes","1","AN","no","infested","good","70_to_100","0.5","less","no","no","yes","wrong","no","yes","yes"
"391","unfavourable","yes","yes","clean","yes","effective","effective","yes","0.5","urea","yes","free","poor",">=_100","0.5","lots","no","yes","no","right","no","no","yes"
"392","unfavourable","yes","no","dirty","yes","not_effective","effective","yes","1","urea","no","free","good",">=_100","1","less","yes","yes","no","right","yes","yes","no"
"393","unfavourable","no","yes","dirty","no","effective","effective","yes","0.5","urea","no","free","good",">=_100","0.5","less","no","no","no","right","no","no","yes"
"394","unfavourable","yes","yes","clean","yes","not_effective","effective","no","1","AN","yes","infested","good",">=_100","0.75","less","no","yes","yes","right","no","yes","no"
"395","unfavourable","no","yes","clean","yes","effective","not_effective","no","1","AN","yes","infested","good","0_to_70","0.5","lots","yes","no","yes","wrong","yes","no","no"
"396","unfavourable","no","no","dirty","no","not_effective","effective","yes","0.5","urea","no","free","good","70_to_100","0.75","less","yes","yes","yes","wrong","no","yes","no"
"397","unfavourable","yes","no","dirty","no","effective","not_effective","no","1","AN","no","infested","poor","70_to_100","1","less","yes","yes","no","right","no","no","no"
"398","favourable","yes","yes","clean","no","effective","not_effective","no","1","urea","yes","free","poor",">=_100","1","less","no","yes","yes","wrong","yes","no","yes"
"399","favourable","no","no","dirty","no","not_effective","not_effective","no","1","urea","yes","free","poor","0_to_70","1","lots","yes","no","no","right","no","yes","yes"
"400","favourable","yes","yes","clean","yes","effective","effective","yes","0.5","AN","yes","free","good","0_to_70","0.5","less","yes","yes","no","right","yes","yes","yes"
"401","unfavourable","no","yes","dirty","yes","not_effective","effective","no","1","AN","yes","free","good",">=_100","0.75","lots","no","no","no","wrong","no","yes","no"
"402","unfavourable","no","no","dirty","yes","not_effective","not_effective","no","1","urea","no","free","poor",">=_100","1","less","no","yes","yes","wrong","no","yes","no"
"403","favourable","yes","no","clean","no","not_effective","not_effective","no","1","AN","yes","infested","poor",">=_100","0.75","lots","no","no","yes","wrong","no","yes","no"
"404","favourable","no","yes","dirty","no","effective","not_effective","yes","0.5","AN","yes","infested","good","70_to_100","0.75","lots","yes","no","yes","right","no","yes","yes"
"405","unfavourable","no","no","dirty","yes","effective","effective","no","0.5","urea","yes","infested","poor",">=_100","0.75","lots","no","no","no","wrong","yes","no","yes"
"406","favourable","no","no","dirty","yes","not_effective","effective","no","1","urea","no","free","poor","0_to_70","0.75","less","no","yes","yes","right","no","no","no"
"407","unfavourable","yes","yes","clean","yes","effective","effective","no","0.5","AN","no","free","poor",">=_100","1","lots","no","no","no","wrong","no","no","yes"
"408","unfavourable","no","yes","clean","no","not_effective","effective","yes","1","AN","yes","infested","good","0_to_70","1","less","yes","yes","yes","wrong","yes","yes","no"
"409","unfavourable","yes","no","clean","yes","not_effective","not_effective","no","0.5","AN","yes","infested","good",">=_100","0.5","less","no","no","no","right","yes","yes","no"
"410","favourable","yes","no","dirty","no","effective","effective","no","0.5","urea","no","infested","poor","70_to_100","1","lots","yes","no","no","wrong","yes","yes","no"
"411","unfavourable","yes","no","dirty","yes","not_effective","not_effective","yes","1","AN","yes","infested","poor","0_to_70","1","less","yes","yes","yes","right","yes","yes","yes"
"412","favourable","no","no","dirty","yes","effective","not_effective","yes","0.5","urea","no","infested","poor","70_to_100","0.5","less","yes","no","no","right","yes","yes","no"
"413","unfavourable","yes","no","clean","no","effective","effective","no","1","AN","yes","infested","good","70_to_100","1","less","no","yes","yes","wrong","yes","yes","no"
"414","favourable","no","no","clean","no","effective","effective","no","1","AN","no","free","poor","70_to_100","1","lots","no","yes","yes","wrong","yes","no","yes"
"415","favourable","yes","yes","dirty","no","not_effective","effective","no","1","AN","yes","free","good",">=_100","0.5","lots","no","yes","yes","wrong","no","yes","no"
"416","unfavourable","yes","yes","clean","yes","effective","effective","no","0.5","urea","no","free","good",">=_100","0.5","less","yes","no","yes","right","no","no","yes"
"417","favourable","yes","yes","dirty","no","not_effective","effective","yes","0.5","AN","yes","infested","good",">=_100","0.5","less","yes","no","yes","right","no","yes","no"
"418","unfavourable","yes","yes","clean","no","effective","not_effective","no","0.5","AN","no","free","poor","70_to_100","0.75","less","no","yes","no","right","no","no","no"
"419","unfavourable","yes","yes","clean","yes","effective","not_effective","no","1","AN","yes","free","good","0_to_70","0.75","lots","yes","no","yes","wrong","no","yes","no"
"420","unfavourable","no","yes","dirty","no","effective","not_effective","no","1","AN","yes","free","good","70_to_100","0.5","lots","no","yes","yes","wrong","no","yes","no"
"421","favourable","yes","yes","dirty","yes","not_effective","effective","yes","1","urea","no","infested","poor",">=_100","0.5","less","yes","yes","yes","right","no","yes","yes"
"422","favourable","no","yes","dirty","no","not_effective","effective","no","1","AN","no","infested","good",">=_100","0.75","less","yes","no","yes","right","yes","yes","yes"
"423","unfavourable","no","yes","clean","yes","not_effective","effective","yes","0.5","urea","no","infested","poor",">=_100","1","less","no","no","no","wrong","yes","no","yes"
"424","unfavourable","yes","no","clean","no","not_effective","effective","yes","1","urea","yes","infested","good","70_to_100","1","less","no","yes","no","wrong","no","yes","no"
"425","favourable","no","no","dirty","yes","not_effective","effective","yes","1","urea","no","infested","good",">=_100","0.5","lots","no","no","no","wrong","yes","yes","yes"
"426","unfavourable","no","yes","dirty","no","not_effective","effective","yes","1","AN","no","free","good",">=_100","0.75","lots","yes","no","yes","wrong","yes","yes","no"
"427","favourable","yes","no","dirty","no","not_effective","not_effective","no","1","AN","yes","infested","good",">=_100","0.5","lots","yes","yes","yes","wrong","no","yes","no"
"428","favourable","yes","no","dirty","yes","not_effective","effective","no","1","AN","no","infested","poor","70_to_100","0.75","less","no","yes","yes","wrong","no","yes","yes"
"429","favourable","yes","yes","dirty","no","effective","not_effective","no","1","urea","no","infested","poor","0_to_70","0.75","less","yes","yes","yes","wrong","no","yes","yes"
"430","favourable","no","no","dirty","yes","not_effective","not_effective","yes","1","AN","no","free","good","70_to_100","1","lots","yes","yes","no","right","yes","yes","yes"
"431","favourable","no","no","dirty","no","not_effective","effective","no","0.5","AN","yes","free","good",">=_100","0.75","lots","yes","yes","yes","wrong","yes","no","no"
"432","unfavourable","yes","yes","dirty","yes","not_effective","not_effective","no","0.5","urea","no","free","poor","0_to_70","1","lots","no","no","no","wrong","yes","no","yes"
"433","unfavourable","no","yes","clean","no","effective","effective","no","1","AN","yes","infested","good","70_to_100","1","less","no","yes","yes","right","yes","yes","no"
"434","favourable","no","no","dirty","no","effective","not_effective","no","0.5","urea","yes","free","poor","70_to_100","0.5","lots","yes","yes","no","wrong","no","no","no"
"435","favourable","yes","no","dirty","no","effective","effective","no","0.5","urea","no","infested","good",">=_100","0.5","less","no","no","yes","wrong","no","no","yes"
"436","unfavourable","yes","yes","clean","no","effective","effective","yes","1","urea","no","free","poor",">=_100","0.75","less","yes","no","yes","wrong","no","yes","no"
"437","favourable","no","yes","clean","yes","effective","effective","no","1","AN","no","infested","poor",">=_100","1","less","no","yes","no","wrong","no","no","yes"
"438","unfavourable","no","yes","clean","yes","effective","not_effective","no","1","urea","no","free","poor",">=_100","0.75","less","no","no","yes","wrong","yes","yes","no"
"439","unfavourable","yes","yes","dirty","yes","not_effective","effective","no","0.5","AN","no","infested","good",">=_100","0.75","less","yes","yes","no","wrong","yes","no","yes"
"440","favourable","no","yes","dirty","no","effective","effective","no","1","AN","no","free","poor",">=_100","0.5","lots","no","no","yes","right","no","yes","no"
"441","favourable","no","yes","clean","yes","effective","not_effective","no","1","urea","no","free","good","0_to_70","0.5","less","no","no","no","right","no","no","yes"
"442","favourable","yes","no","clean","yes","effective","not_effective","yes","0.5","urea","yes","free","poor","70_to_100","1","less","no","no","yes","wrong","no","yes","yes"
"443","unfavourable","no","no","clean","yes","not_effective","not_effective","yes","0.5","AN","yes","free","good","70_to_100","0.75","lots","no","no","yes","right","yes","yes","yes"
"444","favourable","no","no","dirty","yes","effective","effective","no","1","urea","yes","free","good",">=_100","0.75","lots","yes","no","yes","wrong","yes","no","no"
"445","favourable","yes","yes","clean","yes","not_effective","effective","no","0.5","urea","no","infested","poor","0_to_70","1","lots","yes","no","no","wrong","no","no","yes"
"446","favourable","yes","no","clean","no","effective","effective","no","1","AN","yes","free","good","0_to_70","1","lots","no","yes","no","wrong","no","yes","no"
"447","favourable","yes","yes","dirty","yes","effective","effective","yes","0.5","AN","no","infested","good",">=_100","1","less","no","yes","no","right","no","no","no"
"448","unfavourable","no","yes","dirty","yes","effective","not_effective","yes","0.5","urea","yes","infested","poor","70_to_100","0.75","lots","no","yes","yes","right","no","no","no"
"449","favourable","no","no","clean","yes","not_effective","not_effective","no","1","urea","no","free","good","0_to_70","0.5","lots","no","no","no","wrong","yes","no","yes"
"450","favourable","no","yes","clean","no","not_effective","effective","no","0.5","urea","no","free","poor","0_to_70","1","lots","yes","no","no","right","no","no","no"
"451","unfavourable","no","yes","dirty","yes","effective","effective","no","0.5","urea","no","infested","good",">=_100","0.5","less","yes","yes","yes","wrong","no","no","yes"
"452","favourable","no","no","clean","no","not_effective","effective","yes","0.5","AN","yes","free","good","70_to_100","0.75","lots","no","no","yes","right","no","no","no"
"453","favourable","yes","no","clean","no","not_effective","not_effective","yes","0.5","urea","no","free","good","70_to_100","0.75","less","no","yes","no","wrong","no","yes","no"
"454","favourable","yes","yes","dirty","yes","not_effective","effective","no","1","urea","yes","infested","poor","70_to_100","1","lots","no","no","no","wrong","yes","yes","no"
"455","favourable","yes","no","clean","no","not_effective","effective","yes","0.5","urea","yes","infested","poor","70_to_100","0.75","less","yes","yes","yes","right","no","no","yes"
"456","unfavourable","yes","no","dirty","yes","not_effective","effective","no","0.5","AN","yes","free","good",">=_100","0.75","lots","no","no","no","right","yes","no","no"
"457","favourable","yes","yes","clean","yes","effective","effective","no","1","urea","yes","free","poor","70_to_100","0.5","lots","no","no","no","right","yes","yes","yes"
"458","favourable","yes","yes","clean","yes","not_effective","not_effective","no","0.5","AN","yes","infested","poor",">=_100","1","less","yes","yes","yes","wrong","yes","no","yes"
"459","unfavourable","no","no","dirty","yes","not_effective","effective","yes","0.5","urea","yes","infested","good","70_to_100","1","less","no","no","no","right","yes","yes","yes"
"460","unfavourable","no","yes","clean","no","effective","not_effective","no","0.5","AN","yes","free","poor","70_to_100","1","less","no","no","no","right","no","no","yes"
"461","favourable","yes","yes","clean","no","effective","effective","yes","1","urea","no","infested","poor","70_to_100","0.5","lots","no","yes","yes","wrong","no","no","yes"
"462","favourable","no","yes","dirty","yes","effective","effective","no","0.5","AN","yes","free","poor",">=_100","0.75","less","no","yes","no","right","no","yes","yes"
"463","unfavourable","yes","no","dirty","yes","not_effective","effective","no","0.5","AN","yes","free","good","0_to_70","0.5","lots","yes","no","yes","wrong","yes","yes","no"
"464","favourable","yes","yes","dirty","no","not_effective","not_effective","yes","0.5","urea","yes","infested","good","0_to_70","0.5","lots","no","no","yes","wrong","no","yes","no"
"465","unfavourable","yes","no","dirty","yes","effective","not_effective","yes","1","AN","no","infested","good",">=_100","0.5","lots","no","yes","no","wrong","no","yes","no"
"466","favourable","no","no","clean","no","effective","not_effective","no","1","AN","no","free","poor","70_to_100","1","lots","no","yes","yes","right","yes","yes","yes"
"467","favourable","yes","yes","dirty","no","effective","not_effective","yes","1","urea","yes","free","poor","70_to_100","0.75","less","yes","yes","yes","wrong","yes","no","yes"
"468","unfavourable","yes","no","clean","no","not_effective","effective","no","1","urea","no","infested","poor","0_to_70","0.5","lots","yes","no","no","right","no","yes","no"
"469","favourable","yes","yes","dirty","no","not_effective","effective","yes","1","AN","no","free","good",">=_100","0.75","lots","yes","no","no","right","yes","no","yes"
"470","unfavourable","no","no","clean","no","effective","not_effective","yes","0.5","AN","no","infested","good","0_to_70","0.75","lots","yes","yes","no","right","yes","yes","no"
"471","favourable","no","no","clean","yes","effective","not_effective","yes","1","urea","yes","infested","poor","70_to_100","0.75","less","no","yes","yes","wrong","yes","yes","no"
"472","favourable","no","no","clean","no","not_effective","effective","yes","1","AN","no","free","poor","70_to_100","0.75","lots","yes","no","no","wrong","no","yes","no"
"473","favourable","yes","no","clean","yes","effective","effective","yes","1","urea","yes","infested","poor","70_to_100","0.75","lots","no","no","no","wrong","no","no","no"
"474","unfavourable","no","yes","dirty","yes","effective","not_effective","yes","1","AN","no","infested","poor","0_to_70","0.75","less","yes","yes","no","wrong","no","yes","yes"
"475","favourable","no","yes","clean","no","effective","not_effective","no","0.5","urea","no","infested","good","0_to_70","0.75","lots","yes","yes","no","right","no","no","yes"
"476","unfavourable","yes","no","dirty","yes","not_effective","not_effective","no","0.5","AN","no","infested","poor","70_to_100","1","lots","yes","yes","yes","wrong","yes","no","no"
"477","favourable","no","no","dirty","yes","not_effective","effective","yes","0.5","AN","no","infested","good","0_to_70","0.75","less","yes","yes","no","right","yes","no","yes"
"478","favourable","yes","yes","dirty","no","not_effective","not_effective","no","1","urea","yes","infested","poor","70_to_100","0.75","lots","yes","no","yes","right","no","no","yes"
"479","favourable","no","yes","dirty","no","effective","effective","yes","0.5","urea","no","infested","poor",">=_100","0.5","lots","no","no","yes","wrong","yes","no","no"
"480","favourable","no","no","clean","yes","effective","not_effective","yes","1","urea","no","infested","good",">=_100","1","less","yes","no","yes","wrong","yes","no","yes"
"481","favourable","yes","yes","clean","yes","effective","not_effective","no","1","AN","yes","free","poor",">=_100","0.75","lots","yes","no","yes","right","no","no","yes"
"482","favourable","yes","yes","dirty","no","effective","effective","yes","1","urea","yes","infested","poor",">=_100","0.75","less","yes","no","yes","wrong","yes","no","no"
"483","favourable","yes","yes","dirty","no","not_effective","effective","no","0.5","urea","yes","free","poor",">=_100","1","lots","yes","yes","yes","right","yes","no","no"
"484","unfavourable","yes","yes","clean","yes","effective","not_effective","no","0.5","urea","yes","free","poor","0_to_70","0.75","less","no","no","no","right","yes","yes","yes"
"485","favourable","no","no","clean","yes","effective","not_effective","yes","0.5","urea","no","free","good","70_to_100","1","less","no","no","no","wrong","no","no","no"
"486","unfavourable","no","no","dirty","no","effective","effective","no","1","AN","no","infested","poor","0_to_70","1","less","no","no","no","wrong","yes","yes","yes"
"487","unfavourable","no","yes","dirty","no","effective","not_effective","yes","1","AN","yes","infested","poor","70_to_100","0.5","less","yes","no","no","wrong","yes","yes","yes"
"488","unfavourable","no","yes","clean","yes","effective","not_effective","no","1","AN","no","infested","good","70_to_100","0.75","less","no","no","no","wrong","yes","no","no"
"489","favourable","yes","no","dirty","no","effective","not_effective","no","1","urea","no","infested","good",">=_100","0.75","less","no","no","no","right","yes","no","yes"
"490","favourable","yes","no","dirty","no","effective","not_effective","no","1","AN","yes","free","good","70_to_100","1","lots","no","yes","yes","wrong","yes","yes","yes"
"491","favourable","no","no","dirty","yes","effective","effective","no","1","urea","yes","infested","poor",">=_100","0.75","less","yes","no","no","right","no","no","yes"
"492","favourable","no","yes","dirty","yes","not_effective","effective","no","0.5","AN","yes","infested","poor","0_to_70","0.75","lots","no","yes","yes","wrong","no","yes","no"
"493","unfavourable","yes","yes","dirty","yes","not_effective","not_effective","yes","0.5","AN","no","free","poor","70_to_100","0.75","lots","yes","no","no","right","yes","no","no"
"494","unfavourable","yes","yes","clean","no","not_effective","effective","no","1","AN","no","free","good","70_to_100","0.75","less","yes","no","no","right","no","yes","no"
"495","favourable","no","no","dirty","yes","not_effective","effective","yes","0.5","urea","yes","infested","poor","0_to_70","1","less","yes","yes","yes","right","no","yes","no"
"496","favourable","yes","yes","dirty","no","effective","not_effective","no","1","AN","no","infested","good",">=_100","0.75","less","yes","yes","no","right","yes","no","no"
"497","unfavourable","yes","yes","clean","no","effective","effective","no","0.5","AN","yes","infested","good",">=_100","0.75","lots","no","no","no","right","no","yes","no"
"498","favourable","yes","yes","clean","yes","effective","effective","no","1","urea","yes","free","good",">=_100","0.5","lots","yes","yes","yes","wrong","yes","yes","no"
"499","unfavourable","no","yes","clean","no","effective","not_effective","yes","1","AN","yes","free","poor","70_to_100","0.75","less","no","yes","no","wrong","no","yes","no"
"500","unfavourable","yes","yes","clean","no","effective","not_effective","yes","1","urea","no","infested","poor","0_to_70","0.75","lots","yes","no","yes","right","no","yes","yes"
"501","favourable","no","yes","dirty","no","not_effective","effective","yes","1","AN","yes","free","good","70_to_100","0.75","less","no","yes","no","wrong","no","no","yes"
"502","unfavourable","yes","no","dirty","no","not_effective","not_effective","yes","1","AN","yes","free","poor",">=_100","1","lots","yes","no","no","right","no","yes","no"
"503","favourable","yes","yes","clean","yes","effective","not_effective","no","1","urea","no","infested","poor",">=_100","0.5","less","no","yes","no","wrong","no","yes","no"
"504","favourable","yes","yes","clean","no","effective","effective","no","0.5","AN","no","infested","poor",">=_100","0.5","less","yes","yes","no","wrong","no","yes","yes"
"505","favourable","no","no","clean","no","not_effective","not_effective","no","1","AN","no","infested","poor","70_to_100","0.75","lots","yes","yes","yes","wrong","yes","no","yes"
"506","favourable","no","yes","dirty","no","effective","effective","yes","0.5","urea","no","free","poor",">=_100","0.75","less","yes","yes","yes","right","no","no","yes"
"507","favourable","yes","yes","clean","yes","not_effective","not_effective","no","1","urea","yes","free","poor","70_to_100","0.75","less","yes","yes","yes","right","no","no","no"
"508","favourable","no","no","dirty","yes","effective","not_effective","no","1","urea","yes","free","poor","70_to_100","0.5","lots","no","yes","no","right","yes","no","no"
"509","unfavourable","yes","yes","dirty","yes","effective","not_effective","yes","1","urea","yes","free","poor",">=_100","1","lots","yes","yes","no","right","yes","yes","yes"
"510","favourable","no","yes","clean","no","not_effective","not_effective","no","0.5","AN","yes","infested","poor",">=_100","0.5","lots","yes","no","no","right","yes","yes","yes"
"511","favourable","no","yes","clean","no","effective","effective","yes","0.5","urea","no","infested","good","70_to_100","0.5","less","yes","yes","yes","wrong","no","yes","yes"
"512","favourable","yes","yes","clean","no","not_effective","effective","yes","0.5","urea","no","free","good","70_to_100","0.75","less","no","yes","yes","wrong","no","yes","yes"
"513","unfavourable","no","yes","dirty","yes","not_effective","not_effective","no","1","urea","no","free","poor",">=_100","0.5","lots","yes","yes","yes","right","yes","no","yes"
"514","favourable","no","no","clean","yes","effective","effective","yes","1","urea","no","free","good","0_to_70","1","lots","yes","yes","yes","wrong","yes","yes","yes"
"515","favourable","no","yes","clean","yes","effective","not_effective","yes","0.5","AN","yes","free","poor",">=_100","0.75","lots","no","yes","yes","wrong","yes","yes","yes"
"516","unfavourable","no","no","dirty","yes","not_effective","not_effective","no","1","urea","yes","infested","good",">=_100","0.5","less","yes","no","yes","wrong","yes","yes","no"
"517","favourable","yes","yes","dirty","yes","not_effective","effective","no","0.5","urea","no","free","good",">=_100","0.5","less","no","yes","yes","wrong","no","yes","no"
"518","unfavourable","yes","yes","dirty","yes","effective","effective","yes","0.5","urea","yes","free","poor",">=_100","0.5","less","yes","yes","yes","wrong","no","yes","no"
"519","favourable","yes","yes","clean","yes","effective","not_effective","no","1","AN","no","infested","poor",">=_100","0.75","lots","no","no","yes","right","yes","yes","yes"
"520","unfavourable","no","yes","clean","no","effective","effective","yes","1","AN","yes","infested","good",">=_100","1","less","no","no","yes","right","no","yes","yes"
"521","favourable","no","yes","clean","yes","effective","not_effective","yes","0.5","urea","no","free","good",">=_100","0.5","lots","no","yes","yes","wrong","yes","no","yes"
"522","favourable","no","yes","clean","yes","not_effective","not_effective","yes","0.5","AN","no","infested","poor","0_to_70","0.75","lots","no","yes","yes","right","no","no","yes"
"523","unfavourable","no","no","dirty","no","not_effective","effective","no","1","AN","no","free","poor",">=_100","0.75","lots","no","no","yes","right","yes","yes","no"
"524","favourable","yes","yes","clean","no","not_effective","not_effective","no","0.5","urea","no","infested","poor","0_to_70","0.5","less","no","yes","yes","right","yes","yes","no"
"525","unfavourable","no","yes","clean","no","not_effective","not_effective","yes","1","urea","yes","infested","poor","70_to_100","1","less","no","yes","no","right","yes","yes","no"
"526","favourable","no","yes","clean","no","not_effective","effective","no","0.5","AN","yes","free","poor",">=_100","1","less","no","no","no","right","no","no","yes"
"527","unfavourable","yes","yes","dirty","no","not_effective","effective","yes","1","AN","no","free","good","0_to_70","1","lots","no","no","yes","wrong","yes","yes","no"
"528","favourable","no","no","clean","yes","effective","effective","yes","0.5","urea","yes","free","good","0_to_70","0.5","less","yes","no","no","wrong","no","yes","yes"
"529","favourable","no","yes","clean","yes","not_effective","not_effective","no","1","urea","no","free","poor","0_to_70","0.75","lots","no","no","yes","wrong","yes","no","no"
"530","unfavourable","no","yes","dirty","yes","not_effective","not_effective","no","0.5","urea","yes","free","poor","70_to_100","0.5","less","yes","yes","yes","wrong","no","yes","no"
"531","favourable","no","yes","dirty","no","not_effective","not_effective","no","1","AN","no","infested","good","0_to_70","0.75","lots","no","yes","no","wrong","yes","no","yes"
"532","favourable","no","no","clean","no","not_effective","effective","no","1","urea","no","free","poor","0_to_70","0.75","less","yes","no","no","right","yes","no","yes"
"533","unfavourable","yes","yes","dirty","no","not_effective","not_effective","yes","0.5","urea","yes","infested","poor","70_to_100","1","less","no","yes","yes","wrong","yes","no","yes"
"534","unfavourable","no","yes","dirty","no","effective","not_effective","yes","1","urea","yes","free","good","70_to_100","0.5","less","yes","no","yes","right","no","no","yes"
"535","unfavourable","no","no","clean","yes","effective","not_effective","no","1","urea","yes","infested","good","0_to_70","0.5","less","no","no","no","right","yes","yes","yes"
"536","favourable","no","no","dirty","no","not_effective","effective","no","1","AN","yes","free","poor","70_to_100","1","less","yes","no","no","right","no","yes","yes"
"537","favourable","yes","yes","clean","yes","effective","effective","no","0.5","urea","yes","free","poor","70_to_100","1","less","no","yes","yes","wrong","no","yes","yes"
"538","unfavourable","no","yes","dirty","no","not_effective","not_effective","yes","1","AN","yes","infested","poor","0_to_70","1","less","no","no","yes","right","no","yes","yes"
"539","favourable","yes","yes","dirty","yes","not_effective","effective","no","0.5","AN","yes","free","good","70_to_100","0.5","lots","yes","no","yes","right","no","yes","no"
"540","unfavourable","no","no","clean","no","effective","not_effective","no","0.5","urea","yes","free","good","0_to_70","0.75","less","no","no","no","wrong","yes","no","yes"
"541","favourable","no","no","dirty","yes","not_effective","not_effective","yes","0.5","AN","no","infested","good","0_to_70","1","lots","no","yes","no","wrong","yes","yes","no"
"542","unfavourable","no","no","dirty","yes","effective","not_effective","yes","1","AN","no","infested","poor","70_to_100","1","less","yes","no","no","wrong","no","yes","no"
"543","unfavourable","yes","no","dirty","no","effective","not_effective","no","0.5","urea","yes","infested","good","70_to_100","0.5","less","no","yes","no","wrong","yes","no","yes"
"544","favourable","yes","no","dirty","yes","effective","effective","yes","1","urea","yes","free","good","70_to_100","0.75","lots","yes","yes","yes","wrong","no","yes","no"
"545","favourable","no","no","dirty","yes","effective","effective","yes","1","AN","no","free","poor",">=_100","1","less","yes","no","no","right","yes","yes","yes"
"546","unfavourable","no","no","clean","no","effective","effective","no","0.5","AN","yes","free","good",">=_100","0.75","lots","no","no","yes","wrong","yes","no","no"
"547","favourable","no","yes","dirty","yes","effective","effective","yes","0.5","AN","no","infested","poor","70_to_100","0.5","less","yes","no","yes","right","yes","no","no"
"548","unfavourable","yes","yes","clean","no","not_effective","not_effective","no","1","urea","yes","infested","good","70_to_100","1","less","yes","no","yes","wrong","yes","no","no"
"549","favourable","no","yes","dirty","yes","not_effective","effective","yes","0.5","AN","yes","infested","good","70_to_100","0.5","less","yes","yes","no","right","yes","no","yes"
"550","favourable","no","yes","dirty","yes","effective","not_effective","no","0.5","AN","yes","infested","good","70_to_100","1","lots","yes","no","no","right","yes","no","no"
"551","unfavourable","no","yes","dirty","no","effective","not_effective","yes","0.5","AN","yes","infested","good","70_to_100","0.5","less","no","yes","yes","right","no","no","yes"
"552","favourable","yes","yes","dirty","no","effective","not_effective","no","0.5","urea","no","free","good","70_to_100","0.5","lots","yes","yes","yes","wrong","no","no","yes"
"553","unfavourable","no","no","dirty","yes","not_effective","not_effective","no","0.5","AN","no","infested","good","0_to_70","0.5","less","no","yes","no","right","yes","yes","yes"
"554","favourable","no","no","dirty","no","not_effective","not_effective","no","0.5","urea","yes","free","poor","0_to_70","1","lots","yes","yes","yes","wrong","yes","yes","no"
"555","favourable","no","no","clean","no","effective","effective","no","1","urea","yes","infested","poor",">=_100","1","less","no","yes","no","right","yes","yes","no"
"556","favourable","yes","no","clean","yes","not_effective","not_effective","no","1","urea","no","free","poor",">=_100","1","lots","yes","yes","no","right","no","yes","yes"
"557","unfavourable","yes","no","clean","no","effective","not_effective","no","1","urea","yes","infested","good","70_to_100","1","less","yes","no","yes","right","no","yes","no"
"558","unfavourable","no","yes","dirty","yes","not_effective","effective","no","1","AN","no","free","good","70_to_100","0.75","less","no","no","yes","right","no","yes","no"
"559","unfavourable","no","no","dirty","no","not_effective","effective","no","1","urea","no","free","poor","70_to_100","0.75","lots","no","no","yes","wrong","no","no","no"
"560","unfavourable","yes","no","clean","no","not_effective","not_effective","yes","0.5","AN","yes","free","good","70_to_100","0.75","lots","no","no","no","right","no","yes","yes"
"561","favourable","no","yes","clean","no","not_effective","not_effective","no","0.5","urea","no","free","good","70_to_100","0.5","less","yes","no","no","right","yes","yes","yes"
"562","unfavourable","yes","yes","dirty","yes","effective","not_effective","yes","1","AN","no","free","good",">=_100","0.75","lots","yes","yes","yes","wrong","yes","yes","yes"
